fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0.5499999999999999;0.46913580246913583;0.5531914893617021;0.9392523364485981;0.5357142857142857;0.5512820512820513;0.6291666666666667;0.9353535353535302;0.2470588235294117;0.3770491803278689;0.06896551724137938;6
0.37499999999999994;0.5432098765432098;0.5106382978723405;0.04672897196261683;0.6071428571428572;0.15384615384615385;0.4708333333333333;0.46397306397306326;0.5999999999999996;0.4426229508196722;0.18965517241379307;6
0.8249999999999997;0.49382716049382724;0.6382978723404257;0.294392523364486;0.6250000000000001;0.358974358974359;0.325;0.5380471380471371;0.5529411764705879;0.36065573770491804;0.293103448275862;6
0.6;0.37037037037037046;0.46808510638297873;0.36915887850467294;0.767857142857143;0.5769230769230769;0.6958333333333333;0.5717171717171747;0.4705882352941175;0.2950819672131148;0.2586206896551725;6
0.6;0.37037037037037046;0.46808510638297873;0.36915887850467294;0.767857142857143;0.5769230769230769;0.6958333333333333;0.5717171717171747;0.4705882352941175;0.2950819672131148;0.2586206896551725;6
0.8249999999999997;0.49382716049382724;0.6382978723404257;0.294392523364486;0.6250000000000001;0.358974358974359;0.325;0.5380471380471371;0.5529411764705879;0.36065573770491804;0.293103448275862;6
0.35000000000000003;0.5925925925925926;0.1276595744680851;0.2990654205607477;0.5357142857142857;0.358974358974359;0.4875;0.524579124579125;0.4588235294117648;0.40983606557377045;0.20689655172413784;6
0.5499999999999999;0.46913580246913583;0.5531914893617021;0.9392523364485981;0.5357142857142857;0.5512820512820513;0.6291666666666667;0.9353535353535302;0.2470588235294117;0.3770491803278689;0.06896551724137938;6
0.37499999999999994;0.5432098765432098;0.5106382978723405;0.04672897196261683;0.6071428571428572;0.15384615384615385;0.4708333333333333;0.46397306397306326;0.5999999999999996;0.4426229508196722;0.18965517241379307;6
0.8249999999999997;0.34567901234567905;0.702127659574468;0.042056074766355145;0.5178571428571429;0.3333333333333333;0.4583333333333333;0.4505050505050512;0.5058823529411766;0.3770491803278689;0.4482758620689655;6
0.8249999999999997;0.46913580246913583;0.6595744680851063;0.039719626168224303;0.3214285714285715;0.11538461538461539;0.18333333333333332;0.2484848484848479;0.23529411764705901;0.557377049180328;0.6206896551724138;5
0.9499999999999997;0.37037037037037046;0.6382978723404257;0.16822429906542058;0.35714285714285726;0.19230769230769232;0.375;0.511111111111113;0.411764705882353;0.5081967213114755;0.22413793103448262;5
0.7749999999999999;0.24691358024691357;0.574468085106383;0.028037383177570093;0.4464285714285715;0.1794871794871795;0.23333333333333334;0.32929292929292775;0.4588235294117648;0.6721311475409837;0.413793103448276;5
0.44999999999999984;0.19753086419753088;0.6382978723404257;0.042056074766355145;0.5178571428571429;0.5897435897435898;0.5166666666666667;0.275420875420872;0.8823529411764705;0.4918032786885247;0.6896551724137933;7
0.44999999999999984;0.22222222222222227;0.5957446808510639;0.042056074766355145;0.3035714285714286;0.3333333333333333;0.3875;0.2888888888888841;0.5411764705882351;0.5409836065573772;0.517241379310345;7
0.65;0.6419753086419754;0.6808510638297872;0.023364485981308417;0.3214285714285715;0.19230769230769232;0.6333333333333333;0.30909090909090964;0.3882352941176471;0.5081967213114755;0.5000000000000001;6
0.42499999999999993;0.5679012345679012;0.08510638297872343;0.3224299065420561;0.5178571428571429;0.41025641025641024;0.475;0.5649831649831687;0.5058823529411766;0.459016393442623;0.18965517241379307;5
0.4;0.5679012345679012;0.5957446808510639;0.10747663551401869;0.41071428571428575;0.21794871794871795;0.3458333333333333;0.275420875420872;0.4470588235294116;0.21311475409836061;0.4482758620689655;7
0.4999999999999999;0.4444444444444445;0.6808510638297872;0.05140186915887851;0.6071428571428572;0.5;0.42916666666666664;0.3966329966329955;0.8000000000000002;0.42622950819672134;0.3620689655172414;8
0.44999999999999984;0.46913580246913583;0.6595744680851063;0.03271028037383178;0.6607142857142857;0.1794871794871795;0.5125;0.5380471380471371;0.7411764705882351;0.40983606557377045;0.27586206896551724;6
0.5499999999999999;0.41975308641975306;0.46808510638297873;0.39252336448598135;0.5535714285714286;0.6923076923076923;0.9416666666666667;0.5649831649831687;0.5411764705882351;0.459016393442623;0.34482758620689663;6
0.525;0.3950617283950617;0.5319148936170213;0.01869158878504673;0.6607142857142857;0.4230769230769231;0.5291666666666667;0.3966329966329955;0.7764705882352942;0.36065573770491804;0.27586206896551724;6
0.5499999999999999;0.49382716049382724;0.6170212765957448;0.37850467289719625;0.6428571428571429;0.38461538461538464;0.5083333333333333;0.6053872053872048;0.6941176470588233;0.5081967213114755;0.3620689655172414;6
0.65;0.46913580246913583;0.8085106382978724;0.023364485981308417;0.5714285714285715;0.19230769230769232;0.4708333333333333;0.2888888888888841;0.4705882352941175;0.4426229508196722;0.5517241379310345;6
0.6;0.5925925925925926;0.5531914893617021;0.06542056074766354;0.3214285714285715;0.44871794871794873;0.3958333333333333;0.23501683501683585;0.3647058823529412;0.8032786885245902;0.6724137931034485;7
